Operating Point Analysis Results:
Quiescent Current (I_Q): 10.91 uA
Power Consumption: 19.65 uW

Detailed Node Voltages:
m.xx1.xmp1.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xmp1.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xmp1.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xmp2.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xmp2.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xmp2.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xmp3.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xmp3.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xmp3.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xmp4.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xmp4.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xmp4.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xmp5.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xmp5.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xmp5.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xmp6.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xmp6.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xmp6.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xmp7.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xmp7.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xmp7.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xmp8.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xmp8.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xmp8.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xmp11.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xmp11.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xmp11.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xmp12.msky130_fd_pr__pfet_01v8#sbody: 1.80000 V
m.xx1.xmp12.msky130_fd_pr__pfet_01v8#body: 1.80000 V
m.xx1.xmp12.msky130_fd_pr__pfet_01v8#dbody: 1.80000 V
m.xx1.xmn3.msky130_fd_pr__nfet_01v8#sbody: 0.00000 V
m.xx1.xmn3.msky130_fd_pr__nfet_01v8#body: 0.00000 V
m.xx1.xmn3.msky130_fd_pr__nfet_01v8#dbody: 0.00000 V
m.xx1.xmn4.msky130_fd_pr__nfet_01v8#sbody: 0.00000 V
