Operating Point Analysis Results:
Quiescent Current (I_Q): 10.54 uA
Power Consumption: 18.97 uW

Detailed Node Voltages:
Detailed Branch Currents:
v.xx1.v4: 0.00 uA
v.xx1.v3: 0.00 uA
v.xx1.v2: 0.00 uA
v.xx1.v1: 0.00 uA
v.xx2.v2: 0.00 uA
v.xx2.v1: 0.00 uA
vvdd: -10.54 uA
vvpp: 0.00 uA
vvnp: 0.00 uA
llfb1: 0.00 uA
llfb2: 0.00 uA

Internal Parameters:
@ccfb2[i]: 0.00 uA
@ccfb1[i]: 0.00 uA
@llfb2[i]: 0.00 uA
@llfb1[i]: 0.00 uA
@cloadn[i]: 0.00 uA
@cloadp[i]: 0.00 uA
@m.xx2.xmp10.msky130_fd_pr__pfet_01v8[id]: 2.47 uA
@m.xx2.xmp13.msky130_fd_pr__pfet_01v8[id]: 0.35 uA
@m.xx2.xmp9.msky130_fd_pr__pfet_01v8[id]: 2.47 uA
@m.xx2.xmn8.msky130_fd_pr__nfet_01v8[id]: 2.64 uA
@m.xx2.xmn5.msky130_fd_pr__nfet_01v8[id]: 0.17 uA
@m.xx2.xmn6.msky130_fd_pr__nfet_01v8[id]: 2.47 uA
@m.xx2.xmn7.msky130_fd_pr__nfet_01v8[id]: 2.64 uA
@m.xx2.xmn2.msky130_fd_pr__nfet_01v8[id]: 0.17 uA
@m.xx2.xmn1.msky130_fd_pr__nfet_01v8[id]: 2.47 uA
@m.xx1.xmn10.msky130_fd_pr__nfet_01v8[id]: 2.63 uA
@m.xx1.xmn9.msky130_fd_pr__nfet_01v8[id]: 2.63 uA
@m.xx1.xmn4.msky130_fd_pr__nfet_01v8[id]: 0.24 uA
@m.xx1.xmn3.msky130_fd_pr__nfet_01v8[id]: 0.24 uA
@m.xx1.xmp12.msky130_fd_pr__pfet_01v8[id]: 2.39 uA
@m.xx1.xmp11.msky130_fd_pr__pfet_01v8[id]: 2.39 uA
@m.xx1.xmp8.msky130_fd_pr__pfet_01v8[id]: 0.24 uA
@m.xx1.xmp7.msky130_fd_pr__pfet_01v8[id]: 0.24 uA
@m.xx1.xmp6.msky130_fd_pr__pfet_01v8[id]: 0.24 uA
@m.xx1.xmp5.msky130_fd_pr__pfet_01v8[id]: 0.24 uA
@m.xx1.xmp4.msky130_fd_pr__pfet_01v8[id]: 0.28 uA
@m.xx1.xmp3.msky130_fd_pr__pfet_01v8[id]: 2.11 uA
@m.xx1.xmp2.msky130_fd_pr__pfet_01v8[id]: 0.28 uA
@m.xx1.xmp1.msky130_fd_pr__pfet_01v8[id]: 2.11 uA
